Pais;Region;Continent;LifeExpectancy;Population;Surface;AgrLand;Forest;PIBpc;AgrGDP;IndustryGDP;AlcohConsump;BadTeeth;SBPMale;BMImen;BMIFemale;InternetUsers;Mobiles;DependRatio;ChildrenWomen;Births;CO2pc
Chile;LATIN AMERICA AND THE CARIBBEAN;AM;77,93;16301726;756090;21,36;21,53;12262;4,59;43,36;8,55;3,4;132,80;26,68;27,53;31,18;64,84;49,20;1,94;15,04;3,91
China;EAST ASIA AND THE PACIFIC;AS;72,56;1307593489;9599990;56,92;21,15;4909;12,12;47,37;5,91;1,03;126,79;22,75;22,82;8,55;30,18;41,98;1,67;13,54;4,43
Colombia;LATIN AMERICA AND THE CARIBBEAN;AM;72,33;43040558;1141750;38,36;58,47;6306;8,39;32,65;6,17;2,3;128,31;24,60;26,04;11,01;50,77;55,90;2,50;20,61;1,37
Congo, Dem. Rep.;SUB-SAHARAN AFRICA;AF;47,02;57420522;2344860;9,90;58,94;330;45,52;26,93;3,3;0,75;131,54;19,79;21,24;0,24;4,78;101,27;6,41;45,06;0,04
Congo, Rep.;SUB-SAHARAN AFRICA;AF;55,09;3533177;342000;30,87;65,80;3621;4,54;71,88;4,2;;133,57;21,64;22,68;1,46;15,80;81,96;4,75;34,74;0,45
Costa Rica;LATIN AMERICA AND THE CARIBBEAN;AM;78,56;4309413;51100;35,15;46,83;8661;8,73;29,15;5,55;2,3;128,08;26,11;26,65;22,07;25,56;51,95;2,07;16,64;1,61
Cote d'Ivoire;SUB-SAHARAN AFRICA;AF;51,52;18020946;322460;63,52;32,72;1575;22,82;25,87;6,48;1,8;133,77;22,35;23,49;1,04;13,04;81,53;4,86;35,13;0,43
Croatia;CENTRAL AND EASTERN EUROPE;EU;75,42;4441986;56590;21,64;38,18;13232;5,04;28,54;15,11;3,5;135,52;26,31;25,01;33,14;82,16;49,05;1,37;9,56;5,20
Cuba;LATIN AMERICA AND THE CARIBBEAN;AM;77,7;11254242;109890;62,35;24,70;7407;5,62;19,37;5,51;1,4;128,56;24,66;26,18;9,74;1,20;42,90;1,57;10,5;2,19
Cyprus;NORTH AMERICA AND WESTERN EUROPE;EU;78,61;1032562;9250;18,07;18,83;24473;2,79;19,47;9,26;1,14;131,50;27,15;25,77;32,81;75,78;46,98;1,53;11,51;7,27
Czech Rep.;CENTRAL AND EASTERN EUROPE;EU;76,22;10220638;78870;55,14;34,27;20281;3,03;37,87;16,45;2,5;133,59;27,63;26,48;35,22;115,05;40,64;1,29;10,56;11,81
Denmark;NORTH AMERICA AND WESTERN EUROPE;EU;78,32;5419444;43090;63,80;11,78;33626;1,43;25,51;13,37;0,8;130,38;25,83;24,92;82,74;100,55;51,28;1,80;11,55;8,65
Djibouti;ARAB STATES;AF;55,58;808367;23200;73,38;0,26;1964;3,53;16,61;1,87;0,9;131,98;23,04;24,07;0,95;5,45;70,68;4,22;28,69;0,59
Dominican Rep.;LATIN AMERICA AND THE CARIBBEAN;AM;72,03;9264267;48670;51,06;28,44;5173;7,45;32,06;6,41;4,4;129,64;24,76;26,41;11,48;39,11;62,80;2,75;22,72;2,13
Ecuador;LATIN AMERICA AND THE CARIBBEAN;AM;74,69;13426402;256370;30,20;39,20;6533;7,05;35,83;9,38;3;128,80;25,33;26,79;5,99;46,52;62,62;2,69;20,99;2,18
Egypt;ARAB STATES;AF;71,56;74203215;1001450;3,54;0,07;5049;14,86;35,92;0,37;1,18;125,70;26,48;29,67;11,70;18,37;60,82;2,99;24,83;2,35
El Salvador;LATIN AMERICA AND THE CARIBBEAN;AM;70,9;6050513;21040;75,53;14,38;5403;10,61;29,85;3,61;1,4;125,33;26,01;27,37;4,20;39,86;71,49;2,44;20,38;1,05
Estonia;CENTRAL AND EASTERN EUROPE;EU;72,96;1345857;45230;20,81;53,88;16654;3,53;28,60;15,57;2,7;138,08;25,85;25,08;61,44;107,37;46,71;1,51;11,77;12,97
Ethiopia;SUB-SAHARAN AFRICA;AF;55,19;74263861;1104300;33,69;13,00;591;46,69;12,96;4,02;1,55;128,12;20,02;20,43;0,22;0,55;91,88;5,09;38,56;0,07
Fiji;EAST ASIA AND THE PACIFIC;OC;68,43;822553;18270;23,43;54,73;4209;14,06;19,16;2,43;1,5;129,39;26,05;28,72;8,45;24,92;58,90;2,86;21,11;1,99
Finland;NORTH AMERICA AND WESTERN EUROPE;EU;79,09;5244342;338150;7,47;73,87;30469;2,77;32,45;12,52;1,2;134,91;26,46;25,50;74,46;100,46;50,00;1,80;11,13;10,41
France;NORTH AMERICA AND WESTERN EUROPE;EU;80,47;60996506;549190;53,96;28,27;29644;2,29;20,79;13,66;1,2;131,74;25,67;24,79;41,51;76,33;53,59;1,93;12,21;6,42
Gabon;SUB-SAHARAN AFRICA;AF;60,02;1370729;267670;19,95;84,51;12742;4,89;61,36;9,32;4,4;134,27;23,82;25,41;4,89;53,74;75,56;3,53;27,48;1,30
Gambia;SUB-SAHARAN AFRICA;AF;56,63;1503678;11300;63,50;47,10;726;32,13;13,29;3,39;2,3;133,01;21,35;24,21;3,80;16,46;83,93;5,28;36,99;0,21
Georgia;CENTRAL ASIA;AS;72,79;4477006;69700;36,19;39,72;3505;16,69;26,85;6,4;2,4;135,04;25,16;26,12;6,24;26,93;48,96;1,57;12,12;1,06
Germany;NORTH AMERICA AND WESTERN EUROPE;EU;79,48;82540739;357090;48,83;31,74;30496;0,87;29,40;12,81;0,7;134,22;26,96;25,65;68,77;96,12;49,66;1,35;8,14;9,81
Ghana;SUB-SAHARAN AFRICA;AF;61,05;21639806;238540;66,36;24,25;1225;40,94;27,46;2,97;0,4;129,37;22,52;23,90;1,83;13,28;75,90;4,45;32,51;0,32
Greece;NORTH AMERICA AND WESTERN EUROPE;EU;79,31;11183114;131960;30,81;29,11;25520;;19,38;10,75;2,2;128,60;26,08;24,85;24,17;92,40;47,81;1,36;9,65;8,82
Grenada;LATIN AMERICA AND THE CARIBBEAN;AM;74,91;102734;340;38,24;11,76;9128;3,40;26,47;10,35;2,2;130,74;24,91;26,89;20,49;45,61;59,96;2,35;19,41;2,28
